country,typology,mortality_level,mortality_rank,dodji_score,dodji_tier,burden_tier,B,S,priority_score,combined_priority_rank,rank_shift_up,reclassification,priority_label,surveillance_gap,recommendation
Lithuania,Medical-system-driven,1.01606443313667,11,-0.247311173501984,As expected,Critical,0.782608695652174,0.45652173913043476,3.15,11,0,Stable,Priority I,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.
New Zealand,Medical-system-driven,0.624633317700998,18,-0.128096165210612,As expected,High,0.6304347826086957,0.5652173913043478,3.1,12,6,Stable,Priority I,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.
Cyprus,Data-quality-limited,0.050337340539091,26,0.336640192911784,Worse than expected,Moderate,0.45652173913043476,0.717391304347826,3.05,13,13,Up >=10,Priority II,0,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount."
Portugal,Data-quality-limited,0.0189914202203693,29,0.622589328950462,Worse than expected,Moderate,0.391304347826087,0.782608695652174,3.05,14,15,Up >=10,Priority II,0,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount."
Finland,Medical-system-driven,1.62088719447344,5,-0.562379010891408,Better than expected,Critical,0.9130434782608695,0.21739130434782608,3.0,15,-10,Down >=10,Priority II,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.
Bulgaria,Insufficient exposure data,-0.34349737003024,36,0.798993092189358,Worse than expected,Moderate,0.2391304347826087,0.8695652173913043,2.95,16,20,Up >=10,Priority II,0,Develop targeted prevalence surveys and mortality sentinel sites; research emerging synthetic opioid and stimulant market dynamics; strengthen diagnostic and certification capacity.
North Macedonia,Insufficient exposure data,-0.773483346583111,38,0.973625708604972,Worse than expected,Low,0.1956521739130435,0.9130434782608695,2.95,17,21,Up >=10,Priority II,0,Develop targeted prevalence surveys and mortality sentinel sites; research emerging synthetic opioid and stimulant market dynamics; strengthen diagnostic and certification capacity.
Croatia,Low-burden / protected,0.218118094007891,24,-0.118885919497889,As expected,High,0.5,0.5869565217391305,2.9,18,6,Stable,Priority II,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.
Israel,Low-burden / protected,0.146769326840419,25,-0.0879640780853574,As expected,Moderate,0.4782608695652174,0.6086956521739131,2.9,19,6,Stable,Priority II,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.
Monaco,Insufficient exposure data,-1.55407633158197,43,2.27785197462129,Worse than expected,Low,0.08695652173913043,0.9782608695652174,2.85,20,23,Up >=10,Priority II,0,Develop targeted prevalence surveys and mortality sentinel sites; research emerging synthetic opioid and stimulant market dynamics; strengthen diagnostic and certification capacity.
United Kingdom,Medical-system-driven,1.64983427151395,4,-0.766191163349263,Better than expected,Critical,0.9347826086956522,0.08695652173913043,2.8,21,-17,Down >=10,Priority II,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.
Latvia,Medical-system-driven,0.7076587125339,15,-0.353688385154646,As expected,High,0.6956521739130435,0.32608695652173914,2.8,22,-7,Stable,Priority II,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.
Norway,Medical-system-driven,1.40817016290176,8,-0.706645843856076,Better than expected,Critical,0.8478260869565217,0.15217391304347827,2.75,23,-15,Down >=10,Priority II,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.
Austria,Medical-system-driven,0.611885627498329,19,-0.336479730310334,As expected,High,0.6086956521739131,0.3695652173913043,2.7,24,-5,Stable,Priority II,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.
Czechia,Data-quality-limited,-0.265332256563276,33,0.05149575720136,Worse than expected,Moderate,0.30434782608695654,0.6739130434782609,2.7,25,8,Stable,Priority III,0,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount."
San Marino,Insufficient exposure data,-2.43011165354498,46,1.11851162510212,Worse than expected,Low,0.021739130434782608,0.9565217391304348,2.7,26,20,Up >=10,Priority III,0,Develop targeted prevalence surveys and mortality sentinel sites; research emerging synthetic opioid and stimulant market dynamics; strengthen diagnostic and certification capacity.
Netherlands,Low-burden / protected,0.0352109556565698,28,-0.195248460218519,As expected,Moderate,0.41304347826086957,0.5434782608695652,2.65,27,1,Stable,Priority III,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.
Serbia,Low-burden / protected,-0.276768110248605,34,-0.003669976997751,As expected,Moderate,0.2826086956521739,0.6521739130434783,2.65,28,6,Stable,Priority III,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.
Andorra,Insufficient exposure data,-2.53056529233524,47,1.11438575492967,Worse than expected,Low,0.0,0.9347826086956522,2.65,29,18,Up >=10,Priority III,0,Develop targeted prevalence surveys and mortality sentinel sites; research emerging synthetic opioid and stimulant market dynamics; strengthen diagnostic and certification capacity.
Denmark,Medical-system-driven,1.34407111476191,10,-0.749379643590862,Better than expected,Critical,0.8043478260869565,0.10869565217391304,2.6,30,-20,Down >=10,Priority III,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.
France,Medical-system-driven,0.659432605102162,16,-0.529493079885903,Better than expected,High,0.6739130434782609,0.2391304347826087,2.6,31,-15,Down >=10,Priority III,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.
Belgium,Medical-system-driven,0.592944629853196,20,-0.429294254352914,As expected,High,0.5869565217391305,0.30434782608695654,2.55,32,-12,Down >=10,Priority III,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.
Russian Federation,Medical-system-driven,1.403097720235,9,-0.933234031301391,Better than expected,Critical,0.8260869565217391,0.043478260869565216,2.5,33,-24,Down >=10,Priority III,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.
Switzerland,Medical-system-driven,0.741867486889241,13,-0.744889107383162,Better than expected,High,0.7391304347826086,0.13043478260869565,2.5,34,-21,Down >=10,Priority III,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.
Spain,Medical-system-driven,0.272805896936847,23,-0.348452146159954,As expected,High,0.5217391304347826,0.34782608695652173,2.5,35,-12,Down >=10,Priority III,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.
South Korea,Low-burden / protected,0.0,30,-0.241864851427101,As expected,Moderate,0.3695652173913043,0.4782608695652174,2.5,36,-6,Stable,Priority III,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.
Republic of Moldova,Low-burden / protected,-0.0734262845212437,31,-0.197149119183562,As expected,Moderate,0.34782608695652173,0.5217391304347826,2.5,37,-6,Stable,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.
Bosnia and Herzegovina,Insufficient exposure data,-1.89686912111559,45,0.651864686754371,Worse than expected,Low,0.043478260869565216,0.8043478260869565,2.5,38,7,Stable,Priority IV,0,Develop targeted prevalence surveys and mortality sentinel sites; research emerging synthetic opioid and stimulant market dynamics; strengthen diagnostic and certification capacity.
Ukraine,Medical-system-driven,0.531088510299739,21,-0.508660216593089,Better than expected,High,0.5652173913043478,0.2608695652173913,2.45,39,-18,Down >=10,Priority IV,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.
Poland,Low-burden / protected,-0.312458694007211,35,-0.217886228661285,As expected,Moderate,0.2608695652173913,0.5,2.35,40,-5,Stable,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.
Germany,Medical-system-driven,0.627549350442382,17,-0.867911067488752,Better than expected,High,0.6521739130434783,0.06521739130434782,2.25,41,-24,Down >=10,Priority IV,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.
Turkey,Low-burden / protected,-0.792038839894574,39,-0.309436333605774,As expected,Low,0.17391304347826086,0.391304347826087,2.0,42,-3,Stable,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.
Japan,Low-burden / protected,-1.69406776404234,44,-0.494881779081819,As expected,Low,0.06521739130434782,0.2826086956521739,1.6,43,1,Stable,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.
Costa Rica,Low-burden / protected,-0.927276733665832,41,-0.592890590305497,Better than expected,Low,0.13043478260869565,0.1956521739130435,1.55,44,-3,Stable,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.
Chile,Low-burden / protected,-1.13624366266297,42,-0.662064144225183,Better than expected,Low,0.10869565217391304,0.17391304347826086,1.5,45,-3,Stable,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.
Italy,Low-burden / protected,-0.524286296226448,37,-1.1202730531842,Better than expected,Low,0.21739130434782608,0.0,1.4,46,-9,Stable,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.
Mexico,Low-burden / protected,-0.862821679366727,40,-0.993692485366632,Better than expected,Low,0.15217391304347827,0.021739130434782608,1.3,47,-7,Stable,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.
