country,typology,mortality_level,mortality_rank,dodji_score,dodji_tier,burden_tier,priority_score,combined_priority_rank,rank_shift_up,reclassification,priority_label,surveillance_gap,recommendation,iso3,who_ill_defined_pct,who_cod_completeness_pct,who_civil_reg_death_pct,who_civil_reg_birth_pct,who_forensic_alcohol_monitor,who_forensic_drug_monitor,wb_gdp_per_capita,wb_population,wb_life_expectancy,wb_comm_disease_death_pct,ill_defined_std,cod_complete_rev,cod_complete_rev_std,civil_reg_rev,civil_reg_rev_std,quality_score,non_gbd_dodji,dodji_score_regime,non_gbd_dodji_regime
Australia,Medical-system-driven,1.59175148332743,6,-0.0473950988167358,As expected,Critical,3.3,11,-5,Stable,Priority II,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.,AUS,5.41395,100.0,100.0,,1.0,1.0,65058.3773146674,26659922,83.0512195121951,4.19491918738963,-0.7338750376862391,0.0,-0.3500241982928783,0.0,-0.37890833709000427,-0.4876025243563739,-0.3138981788158059,Data-quality-limited,Low-burden / protected
Austria,Medical-system-driven,0.611885627498329,19,-0.336479730310334,As expected,Critical,3.3,12,7,Stable,Priority II,1,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.,AUT,8.87082,100.0,100.0,,1.0,1.0,56579.504175468,9131761,81.7926829268293,11.2961991917301,-0.18583926645649765,0.0,-0.3500241982928783,0.0,-0.37890833709000427,-0.30492393394646006,-0.13294213458138998,Low-burden / protected,Data-quality-limited
New Zealand,Medical-system-driven,0.624633317700998,18,-0.128096165210612,As expected,Critical,3.3,13,5,Stable,Priority II,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.,NZL,2.97274,100.0,100.0,,1.0,1.0,49302.341876493,5200000,81.7585365853659,4.5097035370186,-1.1208928905657969,0.0,-0.3500241982928783,0.0,-0.37890833709000427,-0.6166084753162265,-0.6249349313451391,Data-quality-limited,Medical-system-driven
Luxembourg,Low-burden / protected,0.718625267597157,14,0.567754662975557,Worse than expected,High,3.15,14,0,Stable,Priority II,0,Invest in vital-registration and early-warning systems; research hidden mortality undercount while preserving protective policies.,LUX,12.03438,100.0,100.0,,,,133230.619178899,666430,83.309756097561,14.9300306909036,0.31569652876622145,0.0,-0.3500241982928783,0.0,-0.37890833709000427,-0.13774533553888704,0.5336165471221815,Insufficient exposure data,Insufficient exposure data
San Marino,Insufficient exposure data,-2.43011165354498,46,1.11851162510212,Worse than expected,Moderate,3.15,15,31,Up >=10,Priority II,0,Develop targeted prevalence surveys and mortality sentinel sites; research emerging synthetic opioid and stimulant market dynamics; strengthen diagnostic and certification capacity.,SMR,6.07735,100.0,,,,,59871.3288101478,33860,85.706,,-0.6287027486982787,0.0,-0.3500241982928783,,,-0.4893634734955785,-0.35692815832497293,Insufficient exposure data,Low-burden / protected
Belarus,Low-burden / protected,0.902714618936351,12,0.705410905117321,Worse than expected,High,3.15,16,-4,Stable,Priority II,0,Invest in vital-registration and early-warning systems; research hidden mortality undercount while preserving protective policies.,BLR,12.04686,99.902,100.0,,1.0,1.0,7896.75388295584,9178298,74.1837804878049,16.0087336125794,0.3176750487640655,0.09799999999999898,-0.3389149942750093,0.0,-0.37890833709000427,-0.1333827608669827,-0.8981172069087829,Insufficient exposure data,Medical-system-driven
Cyprus,Data-quality-limited,0.050337340539091,26,0.336640192911784,Worse than expected,Moderate,2.8,17,9,Stable,Priority II,0,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount.",CYP,10.95524,67.53566,85.51095,,1.0,1.0,36623.70703125,1344976,81.648,12.9749697376432,0.14461479235008098,32.46434000000001,3.330108213599666,14.489050000000006,1.3427255871402857,1.6058161976966776,2.2477014683353738,Data-quality-limited,Insufficient exposure data
Lithuania,Low-burden / protected,1.01606443313667,11,-0.247311173501984,As expected,Moderate,2.6,18,-7,Stable,Priority III,1,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,LTU,3.22581,99.19991,100.0,,1.0,1.0,27983.3658256887,2871585,77.290243902439,17.2252827858079,-1.0807723732697716,0.8000899999999973,-0.259326616224951,0.0,-0.37890833709000427,-0.5730024421949089,-0.8432601615620832,Low-burden / protected,Medical-system-driven
Czechia,Data-quality-limited,-0.265332256563276,33,0.05149575720136,Worse than expected,Moderate,2.55,19,14,Up >=10,Priority III,0,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount.",CZE,9.14803,100.0,100.0,,1.0,1.0,31761.5944102491,10864042,79.8268292682927,23.4625903529271,-0.14189170807489904,0.0,-0.3500241982928783,0.0,-0.37890833709000427,-0.2902747478192605,-0.39681005364127975,Data-quality-limited,Low-burden / protected
Latvia,Low-burden / protected,0.7076587125339,15,-0.353688385154646,Better than expected,High,2.55,20,-5,Stable,Priority III,1,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,LVA,4.01277,100.0,99.92131,,1.0,1.0,22710.2637544197,1883710,75.4268292682927,14.7836435724912,-0.9560114680211054,0.0,-0.3500241982928783,0.0786899999999946,-0.3695581468775561,-0.5585312710638466,-0.9280278243174851,Low-burden / protected,Medical-system-driven
Andorra,Data-quality-limited,-2.53056529233524,47,1.11438575492967,Worse than expected,Low,2.45,21,26,Up >=10,Priority III,0,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount.",AND,6.56028,100.0,,,1.0,1.0,46812.448450114,80856,84.041,,-0.5521413174035008,0.0,-0.3500241982928783,,,-0.4510827578481895,-0.4249393072414848,Insufficient exposure data,Low-burden / protected
Finland,Low-burden / protected,1.62088719447344,5,-0.562379010891408,Better than expected,Critical,2.45,22,-17,Down >=10,Priority III,1,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,FIN,2.33261,100.0,100.0,,1.0,1.0,52864.6931581216,5583911,81.5853658536585,2.5593416426267,-1.2223760641411106,0.0,-0.3500241982928783,0.0,-0.37890833709000427,-0.650436199841331,-0.6371644339329355,Medical-system-driven,Medical-system-driven
Belgium,Medical-system-driven,0.592944629853196,20,-0.429294254352914,Better than expected,Critical,2.4,23,-3,Stable,Priority III,1,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.,BEL,15.05957,100.0,99.60833,,1.0,1.0,55244.68145811,11779946,82.4,17.9027095201615,0.795295800583357,0.0,-0.3500241982928783,0.39167000000000485,-0.3323688911564692,0.03763423704466984,0.32240399657297547,Low-burden / protected,Insufficient exposure data
Croatia,Data-quality-limited,0.218118094007891,24,-0.118885919497889,As expected,Moderate,2.35,24,0,Stable,Priority III,0,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount.",HRV,5.70991,100.0,100.0,,1.0,1.0,22183.4982258492,3859686,78.4731707317073,15.3474256509976,-0.6869549432501874,0.0,-0.3500241982928783,0.0,-0.37890833709000427,-0.47196249287768993,-0.8220890206704031,Data-quality-limited,Medical-system-driven
Serbia,Low-burden / protected,-0.276768110248605,34,-0.003669976997751,As expected,Moderate,2.35,25,9,Stable,Priority III,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,SRB,15.09578,94.05333,90.16288,,0.0,0.0,12281.707946167,6623183,76.1414634146341,25.8063958611152,0.8010363622117169,5.9466699999999975,0.3240857022881599,9.837119999999999,0.7899688155683317,0.6383636266894027,0.40175596705851446,Data-quality-limited,Insufficient exposure data
Bosnia and Herzegovina,Insufficient exposure data,-1.89686912111559,45,0.651864686754371,Worse than expected,Low,2.3,26,19,Up >=10,Priority III,0,Develop targeted prevalence surveys and mortality sentinel sites; research emerging synthetic opioid and stimulant market dynamics; strengthen diagnostic and certification capacity.,BIH,20.29739,95.02706,89.45269,,0.0,0.0,8663.02326458629,3185073,77.85,21.8985591170726,1.6256749364092815,4.972939999999994,0.21370442444816262,10.547309999999996,0.8743557972302836,0.9045783860292426,0.6019505669263345,Insufficient exposure data,Insufficient exposure data
Portugal,Low-burden / protected,0.0189914202203693,29,0.622589328950462,Worse than expected,Low,2.2,27,2,Stable,Priority III,0,Invest in vital-registration and early-warning systems; research hidden mortality undercount while preserving protective policies.,PRT,13.65628,100.0,100.0,,1.0,1.0,27634.6183139773,10578174,82.3292682926829,15.4418579353871,0.5728248608578297,0.0,-0.3500241982928783,0.0,-0.37890833709000427,-0.05203589150835095,-0.14203131521869058,Insufficient exposure data,Low-burden / protected
Denmark,Medical-system-driven,1.34407111476191,10,-0.749379643590862,Better than expected,High,2.0,28,-18,Down >=10,Priority III,1,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.,DNK,12.65127,100.0,97.53874,,1.0,1.0,68043.5466971243,5946952,81.7536585365854,9.08109622802695,0.4134953429865754,0.0,-0.3500241982928783,2.461259999999996,-0.08645377917550784,-0.007660878160603568,0.36529506717155497,Medical-system-driven,Insufficient exposure data
Republic of Moldova,Insufficient exposure data,-0.0734262845212437,31,-0.197149119183562,As expected,Moderate,1.95,29,2,Stable,Priority III,0,Establish baseline prevalence and mortality surveillance; prepare research infrastructure before potential escalation.,MDA,1.83958,79.62334,90.47144,,1.0,1.0,6799.58594644576,2457783,71.198,23.8424276896184,-1.3005387015238872,20.37666,1.9598581807148057,9.528559999999999,0.7533047579758395,0.47087474572225263,-0.1278638054255991,Data-quality-limited,Data-quality-limited
Poland,Low-burden / protected,-0.312458694007211,35,-0.217886228661285,As expected,Moderate,1.85,30,5,Stable,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,POL,31.33335,100.0,,,,,22145.2660647429,36687353,78.2585365853659,23.7232016104786,3.3752636828361293,0.0,-0.3500241982928783,,,1.5126197422716254,1.877159013306162,Low-burden / protected,Insufficient exposure data
Spain,Low-burden / protected,0.272805896936847,23,-0.348452146159954,As expected,Low,1.85,31,-8,Stable,Priority III,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,ESP,8.52644,100.0,100.0,,1.0,1.0,33493.2225409111,48352528,83.9341463414634,12.8383468831105,-0.24043563799956952,0.0,-0.3500241982928783,0.0,-0.37890833709000427,-0.32312272446081736,-0.41525547515321515,Low-burden / protected,Low-burden / protected
Israel,Low-burden / protected,0.146769326840419,25,-0.0879640780853574,As expected,Moderate,1.85,32,-7,Stable,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,ISR,9.14697,100.0,100.0,,1.0,1.0,52126.4489280033,9849000,83.1951219512195,18.9543934106822,-0.14205975544651092,0.0,-0.3500241982928783,0.0,-0.37890833709000427,-0.2903307636097978,-0.15340569768313533,Data-quality-limited,Low-burden / protected
South Korea,Low-burden / protected,0.0,30,-0.241864851427101,As expected,Moderate,1.85,33,-3,Stable,Priority III,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,KOR,13.28368,100.0,99.31434,,0.0,0.0,35674.095995632,51712619,83.4292682926829,14.6502843445075,0.5137546243837355,0.0,-0.3500241982928783,0.6856599999999986,-0.2974360862186402,-0.044568553375927654,-0.00605847815515983,Low-burden / protected,Data-quality-limited
Russian Federation,Low-burden / protected,1.403097720235,9,-0.933234031301391,Better than expected,Moderate,1.65,34,-25,Down >=10,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,RUS,7.81471,100.0,99.54918,,1.0,1.0,13986.9951171875,143826130,73.2546341463415,26.8592327830652,-0.3532699359214883,0.0,-0.3500241982928783,0.4508199999999931,-0.3253405044355868,-0.3428782128833178,-0.8820671783515459,Medical-system-driven,Medical-system-driven
Ukraine,Data-quality-limited,0.531088510299739,21,-0.508660216593089,Better than expected,Moderate,1.65,35,-14,Down >=10,Priority IV,0,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount.",UKR,2.37577,92.33643,98.58081,,1.0,1.0,5139.59814453125,37732836,73.422,18.2699372441341,-1.2155336824818999,7.663570000000007,0.5187121551277478,1.4191900000000004,-0.21027577326225952,-0.3023657668721372,-1.3866440873144226,Low-burden / protected,Medical-system-driven
Turkey,Data-quality-limited,-0.792038839894574,39,-0.309436333605774,As expected,Low,1.6,36,3,Stable,Priority IV,0,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount.",TUR,9.60725,91.60294,78.24942,,,1.0,13375.0947282864,85325965,77.156,22.3002668912949,-0.0690891477055123,8.397059999999996,0.60186001283251,21.75058,2.205563136173242,0.9127780004334133,0.8204527963217153,Low-burden / protected,Insufficient exposure data
Germany,Medical-system-driven,0.627549350442382,17,-0.867911067488752,Better than expected,Moderate,1.6,37,-20,Down >=10,Priority IV,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.,DEU,10.70017,100.0,99.59532,,0.0,1.0,54776.7668235491,83287273,81.0414634146342,10.7098283576241,0.10417720454158078,0.0,-0.3500241982928783,0.40467999999999904,-0.33082300254719355,-0.19222333209949702,0.004766279661842509,Medical-system-driven,Data-quality-limited
Switzerland,Medical-system-driven,0.741867486889241,13,-0.744889107383162,Better than expected,Moderate,1.6,38,-25,Down >=10,Priority IV,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.,CHE,10.24317,100.0,100.0,,1.0,1.0,104449.75451772,8888822,84.1560975609756,12.4234175232007,0.03172659244104121,0.0,-0.3500241982928783,0.0,-0.37890833709000427,-0.2324019809806138,0.27412568040441015,Medical-system-driven,Insufficient exposure data
Netherlands,Low-burden / protected,0.0352109556565698,28,-0.195248460218519,As expected,Low,1.35,39,-11,Down >=10,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,NLD,12.96134,100.0,99.79009,,1.0,1.0,63515.6030780019,17877117,81.8634146341464,16.4636672023695,0.4626523698881383,0.0,-0.3500241982928783,0.2099099999999936,-0.3539661789060537,-0.08044600243693123,0.23104434239905475,Data-quality-limited,Data-quality-limited
Costa Rica,Low-burden / protected,-0.927276733665832,41,-0.592890590305497,Better than expected,Low,1.25,40,1,Stable,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,CRI,5.24889,87.43953,91.16277,,1.0,1.0,17140.771430122,5105525,80.799,24.4420343892099,-0.7600428670808015,12.560469999999995,1.073820942424719,8.837230000000005,0.6711587800933617,0.3283122851457597,0.13996497982890516,Medical-system-driven,Data-quality-limited
France,Low-burden / protected,0.659432605102162,16,-0.529493079885903,Better than expected,Low,1.25,41,-25,Down >=10,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,FRA,15.39244,100.0,100.0,,0.0,0.0,44700.1384177544,68372286,82.8317073170732,14.6760864686264,0.848067431327135,0.0,-0.3500241982928783,0.0,-0.37890833709000427,0.03971163198141749,0.21980685333271457,Medical-system-driven,Data-quality-limited
United Kingdom,Low-burden / protected,1.64983427151395,4,-0.766191163349263,Better than expected,Low,1.25,42,-38,Down >=10,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,GBR,5.32515,100.0,100.0,,1.0,1.0,49919.6896621586,68526000,81.2380975609756,16.9669591994466,-0.7479529684401295,0.0,-0.3500241982928783,0.0,-0.37890833709000427,-0.492295167941004,-0.44964557592087023,Medical-system-driven,Low-burden / protected
Norway,Low-burden / protected,1.40817016290176,8,-0.706645843856076,Better than expected,Low,1.0,43,-35,Down >=10,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,NOR,10.74571,100.0,100.0,,1.0,1.0,90984.4087141111,5519601,83.0121951219512,7.60661051805043,0.11139690011063685,0.0,-0.3500241982928783,0.0,-0.37890833709000427,-0.20584521175741521,0.24027450045018728,Medical-system-driven,Data-quality-limited
Japan,Low-burden / protected,-1.69406776404234,44,-0.494881779081819,Better than expected,Low,1.0,44,0,Stable,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,JPN,15.68065,100.0,100.0,,1.0,1.0,35215.003535366,124516650,84.0412195121951,9.93938650138259,0.8937588775273461,0.0,-0.3500241982928783,0.0,-0.37890833709000427,0.05494211404815449,0.12265480120402522,Low-burden / protected,Data-quality-limited
Italy,Low-burden / protected,-0.524286296226448,37,-1.1202730531842,Better than expected,Low,1.0,45,-8,Stable,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,ITA,8.66081,100.0,,,,,39279.699782164,58984216,83.3512195121951,15.0386399993496,-0.21913325561893598,0.0,-0.3500241982928783,,,-0.28457872695590714,-0.28459567865452046,Medical-system-driven,Low-burden / protected
Mexico,Low-burden / protected,-0.862821679366727,40,-0.993692485366632,Better than expected,Low,1.0,46,-6,Stable,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,MEX,3.98727,100.0,98.99678,,1.0,1.0,13830.843848864,129739759,75.069,38.8225067647249,-0.9600541170551615,0.0,-0.3500241982928783,1.003219999999999,-0.25970262067199834,-0.5232603120066793,-1.1356389856036189,Medical-system-driven,Medical-system-driven
Chile,Low-burden / protected,-1.13624366266297,42,-0.662064144225183,Better than expected,Low,1.0,47,-5,Stable,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,CHL,4.59899,94.89843,,,,,17081.5180740049,19658835,81.167,21.3441804893583,-0.8630749301095556,5.101569999999995,0.22828582151773932,,,-0.3173945542959081,-0.7439721328241738,Medical-system-driven,Medical-system-driven
