country,typology,mortality_level,mortality_rank,dodji_score,dodji_tier,burden_tier,priority_score,combined_priority_rank,rank_shift_up,reclassification,priority_label,surveillance_gap,recommendation,is_microstate
Bosnia and Herzegovina,Insufficient exposure data,-1.89686912111559,45,0.651864686754371,Worse than expected,Low,2.3,26,19,Up >=10,Priority III,0,Develop targeted prevalence surveys and mortality sentinel sites; research emerging synthetic opioid and stimulant market dynamics; strengthen diagnostic and certification capacity.,0
Portugal,Low-burden / protected,0.0189914202203693,29,0.622589328950462,Worse than expected,Low,2.2,27,2,Stable,Priority III,0,Invest in vital-registration and early-warning systems; research hidden mortality undercount while preserving protective policies.,0
Denmark,Medical-system-driven,1.34407111476191,10,-0.749379643590862,Better than expected,High,2.0,28,-18,Down >=10,Priority III,1,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.,0
Republic of Moldova,Insufficient exposure data,-0.0734262845212437,31,-0.197149119183562,As expected,Moderate,1.95,29,2,Stable,Priority III,0,Establish baseline prevalence and mortality surveillance; prepare research infrastructure before potential escalation.,0
Poland,Low-burden / protected,-0.312458694007211,35,-0.217886228661285,As expected,Moderate,1.85,30,5,Stable,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,0
Spain,Low-burden / protected,0.272805896936847,23,-0.348452146159954,As expected,Low,1.85,31,-8,Stable,Priority III,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,0
Israel,Low-burden / protected,0.146769326840419,25,-0.0879640780853574,As expected,Moderate,1.85,32,-7,Stable,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,0
South Korea,Low-burden / protected,0.0,30,-0.241864851427101,As expected,Moderate,1.85,33,-3,Stable,Priority III,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,0
Russian Federation,Low-burden / protected,1.403097720235,9,-0.933234031301391,Better than expected,Moderate,1.65,34,-25,Down >=10,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,0
Ukraine,Data-quality-limited,0.531088510299739,21,-0.508660216593089,Better than expected,Moderate,1.65,35,-14,Down >=10,Priority IV,0,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount.",0
Turkey,Data-quality-limited,-0.792038839894574,39,-0.309436333605774,As expected,Low,1.6,36,3,Stable,Priority IV,0,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount.",0
Germany,Medical-system-driven,0.627549350442382,17,-0.867911067488752,Better than expected,Moderate,1.6,37,-20,Down >=10,Priority IV,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.,0
Switzerland,Medical-system-driven,0.741867486889241,13,-0.744889107383162,Better than expected,Moderate,1.6,38,-25,Down >=10,Priority IV,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.,0
Netherlands,Low-burden / protected,0.0352109556565698,28,-0.195248460218519,As expected,Low,1.35,39,-11,Down >=10,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,0
Costa Rica,Low-burden / protected,-0.927276733665832,41,-0.592890590305497,Better than expected,Low,1.25,40,1,Stable,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,0
France,Low-burden / protected,0.659432605102162,16,-0.529493079885903,Better than expected,Low,1.25,41,-25,Down >=10,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,0
United Kingdom,Low-burden / protected,1.64983427151395,4,-0.766191163349263,Better than expected,Low,1.25,42,-38,Down >=10,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,0
Norway,Low-burden / protected,1.40817016290176,8,-0.706645843856076,Better than expected,Low,1.0,43,-35,Down >=10,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,0
Japan,Low-burden / protected,-1.69406776404234,44,-0.494881779081819,Better than expected,Low,1.0,44,0,Stable,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,0
Italy,Low-burden / protected,-0.524286296226448,37,-1.1202730531842,Better than expected,Low,1.0,45,-8,Stable,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,0
Mexico,Low-burden / protected,-0.862821679366727,40,-0.993692485366632,Better than expected,Low,1.0,46,-6,Stable,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,0
Chile,Low-burden / protected,-1.13624366266297,42,-0.662064144225183,Better than expected,Low,1.0,47,-5,Stable,Priority IV,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,0
